"Matching.Attribute","name","selected","shared name"
"Prs5","Prs5","false","Prs5"
"Gpp2","Gpp2","false","Gpp2"
"Tpd3","Tpd3","false","Tpd3"
"Prp9","Prp9","false","Prp9"
"Grx3","Grx3","false","Grx3"
"She2","She2","false","She2"
"Nif3","Nif3","false","Nif3"
"Lhp1","Lhp1","false","Lhp1"
"Mri1","Mri1","false","Mri1"
"Rcn2","Rcn2","false","Rcn2"
"Cwc15","Cwc15","false","Cwc15"
"Pat1","Pat1","false","Pat1"
"Tex1","Tex1","false","Tex1"
"Erg5","Erg5","false","Erg5"
"Nit3","Nit3","false","Nit3"
"Hek2","Hek2","false","Hek2"
"Esf1","Esf1","false","Esf1"
"Hpr1","Hpr1","false","Hpr1"
"Nop4","Nop4","false","Nop4"
"Mft1","Mft1","false","Mft1"
"Tho2","Tho2","false","Tho2"
"Gcv1","Gcv1","false","Gcv1"
"Yra2","Yra2","false","Yra2"
"Mdj1","Mdj1","false","Mdj1"
"Brr1","Brr1","false","Brr1"
"Whi3","Whi3","false","Whi3"
"Pnc1","Pnc1","false","Pnc1"
"Gde1","Gde1","false","Gde1"
"Smd3","Smd3","false","Smd3"
"Ara1","Ara1","false","Ara1"
"Cad1","Cad1","false","Cad1"
"Prp4","Prp4","false","Prp4"
"Ald4","Ald4","false","Ald4"
"Cwc22","Cwc22","false","Cwc22"
"Isy1","Isy1","false","Isy1"
"Snu23","Snu23","false","Snu23"
"Ecm2","Ecm2","false","Ecm2"
"Elp6","Elp6","false","Elp6"
"Erg26","Erg26","false","Erg26"
"Prp45","Prp45","false","Prp45"
"Prp31","Prp31","false","Prp31"
"Clf1","Clf1","false","Clf1"
"Syf1","Syf1","false","Syf1"
"Prp6","Prp6","false","Prp6"
"Cwc2","Cwc2","false","Cwc2"
"Iki1","Iki1","false","Iki1"
"Air2","Air2","false","Air2"
"Sec4","Sec4","false","Sec4"
"Trm1","Trm1","false","Trm1"
"Prp46","Prp46","false","Prp46"
"Sxm1","Sxm1","false","Sxm1"
"Cef1","Cef1","false","Cef1"
"Cdc60","Cdc60","false","Cdc60"
"Nop6","Nop6","false","Nop6"
"Hrb1","Hrb1","false","Hrb1"
"Ade12","Ade12","false","Ade12"
"Cdc14","Cdc14","false","Cdc14"
"Gcv2","Gcv2","false","Gcv2"
"Tdh1","Tdh1","false","Tdh1"
"Spt15","Spt15","false","Spt15"
"Pno1","Pno1","false","Pno1"
"Kri1","Kri1","false","Kri1"
"Lea1","Lea1","false","Lea1"
"Msl1","Msl1","false","Msl1"
"Bfr1","Bfr1","false","Bfr1"
"Nop10","Nop10","false","Nop10"
"Rsm7","Rsm7","false","Rsm7"
"Bre5","Bre5","false","Bre5"
"Nam8","Nam8","false","Nam8"
"Utp22","Utp22","false","Utp22"
"Hho1","Hho1","false","Hho1"
"Yra1","Yra1","false","Yra1"
"Dbp2","Dbp2","false","Dbp2"
"Ubp3","Ubp3","false","Ubp3"
"Tif4632","Tif4632","false","Tif4632"
"Vma8","Vma8","false","Vma8"
"Rpa43","Rpa43","false","Rpa43"
"Rrp7","Rrp7","false","Rrp7"
"Smd1","Smd1","false","Smd1"
"Tma46","Tma46","false","Tma46"
"Scp160","Scp160","false","Scp160"
"Mgm101","Mgm101","false","Mgm101"
"Nam7","Nam7","false","Nam7"
"Sro9","Sro9","false","Sro9"
"Prp21","Prp21","false","Prp21"
"Sbp1","Sbp1","false","Sbp1"
"Rbg1","Rbg1","false","Rbg1"
"Nop13","Nop13","false","Nop13"
"Hsh155","Hsh155","false","Hsh155"
"Thp2","Thp2","false","Thp2"
"Hmo1","Hmo1","false","Hmo1"
"Cdc33","Cdc33","false","Cdc33"
"Rrp5","Rrp5","false","Rrp5"
"Xrn1","Xrn1","false","Xrn1"
"Imd3","Imd3","false","Imd3"
"Cus1","Cus1","false","Cus1"
"Rse1","Rse1","false","Rse1"
"Pab1","Pab1","false","Pab1"
"Imd4","Imd4","false","Imd4"
"Ade3","Ade3","false","Ade3"
"Fpr3","Fpr3","false","Fpr3"
"Lsg1","Lsg1","false","Lsg1"
"Ubc4","Ubc4","false","Ubc4"
"Pap2","Pap2","false","Pap2"
"Tma22","Tma22","false","Tma22"
"Nab3","Nab3","false","Nab3"
"Nop12","Nop12","false","Nop12"
"Smb1","Smb1","false","Smb1"
"Erg6","Erg6","false","Erg6"
"Erg1","Erg1","false","Erg1"
"Csr1","Csr1","false","Csr1"
"Prp8","Prp8","false","Prp8"
"Cdc11","Cdc11","false","Cdc11"
"Smd2","Smd2","false","Smd2"
"Yhb1","Yhb1","false","Yhb1"
"Snp1","Snp1","false","Snp1"
"Ypk1","Ypk1","false","Ypk1"
"Srp1","Srp1","false","Srp1"
"Tif4631","Tif4631","false","Tif4631"
"Nrd1","Nrd1","false","Nrd1"
"Rsm26","Rsm26","false","Rsm26"
"Cct7","Cct7","false","Cct7"
"Snu56","Snu56","false","Snu56"
"Kap95","Kap95","false","Kap95"
"Yhc1","Yhc1","false","Yhc1"
"Brr2","Brr2","false","Brr2"
"Sto1","Sto1","false","Sto1"
"Snu114","Snu114","false","Snu114"
"Prp19","Prp19","false","Prp19"
"Prp42","Prp42","false","Prp42"
"Luc7","Luc7","false","Luc7"
"Mud1","Mud1","false","Mud1"
"Snu71","Snu71","false","Snu71"
"Prp39","Prp39","false","Prp39"
"Prp40","Prp40","false","Prp40"
"Cbc2","Cbc2","false","Cbc2"
"Prp11","Prp11","false","Prp11"
